,latitude,longitude,altitude,tz,country,state,county,wind_height
410973,37.33,-108.1,2614,-7,United States,Colorado,La Plata,2
478518,37.97,-105.22,2878,-7,United States,Colorado,Custer,2
462498,39.57,-105.86,3523,-7,United States,Colorado,Summit,2
462490,39.89,-105.86,2992,-7,United States,Colorado,Grand,2
470349,40.53,-105.54,3074,-7,United States,Colorado,Larimer,2
536571,37.33,-102.98,1525,-7,United States,Colorado,Baca,2
478454,40.53,-105.22,1864,-7,United States,Colorado,Larimer,2
396846,39.25,-108.74,1454,-7,United States,Colorado,Mesa,2
454938,38.93,-106.18,2681,-7,United States,Colorado,Chaffee,2
478446,40.85,-105.22,1923,-7,United States,Colorado,Larimer,2
425239,39.89,-107.46,3010,-7,United States,Colorado,Rio Blanco,2
478454,40.53,-105.22,1864,-7,United States,Colorado,Larimer,2
439786,39.89,-106.82,2139,-7,United States,Colorado,Eagle,2
425263,38.93,-107.46,2143,-7,United States,Colorado,Gunnison,2
478510,38.29,-105.22,2192,-7,United States,Colorado,Fremont,2
432544,37.01,-107.14,2075,-7,United States,Colorado,Archuleta,2
454898,40.53,-106.18,2600,-7,United States,Colorado,Jackson,2
418117,37.33,-107.78,2472,-7,United States,Colorado,La Plata,2
396846,39.25,-108.74,1454,-7,United States,Colorado,Mesa,2
494917,37.65,-104.58,1887,-7,United States,Colorado,Huerfano,2
425311,37.01,-107.46,1884,-7,United States,Colorado,Archuleta,2
544992,37.65,-102.66,1334,-7,United States,Colorado,Prowers,2
403854,38.93,-108.42,1502,-7,United States,Colorado,Mesa,2
470421,37.65,-105.54,2978,-7,United States,Colorado,Alamosa,2
403862,38.61,-108.42,2042,-7,United States,Colorado,Mesa,2
418093,38.29,-107.78,2074,-7,United States,Colorado,Ouray,2
432504,38.61,-107.14,3100,-7,United States,Colorado,Gunnison,2
462466,40.85,-105.86,2938,-7,United States,Colorado,Larimer,2
418125,37.01,-107.78,2150,-7,United States,Colorado,La Plata,2
486691,38.29,-104.9,1556,-7,United States,Colorado,Pueblo,2
432512,38.29,-107.14,2571,-7,United States,Colorado,Gunnison,2
432496,38.93,-107.14,3354,-7,United States,Colorado,Gunnison,2
389881,38.29,-109.06,2238,-7,United States,Colorado,Montrose,2
410973,37.33,-108.1,2614,-7,United States,Colorado,La Plata,2
410973,37.33,-108.1,2614,-7,United States,Colorado,La Plata,2
503117,39.25,-104.26,1889,-7,United States,Colorado,Elbert,2
396846,39.25,-108.74,1454,-7,United States,Colorado,Mesa,2
403870,38.29,-108.42,2034,-7,United States,Colorado,Montrose,2
486707,37.65,-104.9,1994,-7,United States,Colorado,Huerfano,2
396902,37.01,-108.74,1622,-7,United States,Colorado,Montezuma,2
403846,39.25,-108.42,1886,-7,United States,Colorado,Mesa,2
425303,37.33,-107.46,2817,-7,United States,Colorado,Archuleta,2
418053,39.89,-107.78,2308,-7,United States,Colorado,Rio Blanco,2
544936,39.89,-102.66,1275,-7,United States,Colorado,Yuma,2
454986,37.01,-106.18,2675,-7,United States,Colorado,Conejos,2
439834,37.97,-106.82,3626,-7,United States,Colorado,Saguache,2
454986,37.01,-106.18,2675,-7,United States,Colorado,Conejos,2
494869,39.57,-104.58,1856,-7,United States,Colorado,Arapahoe,2
470381,39.25,-105.54,3329,-7,United States,Colorado,Park,2
396846,39.25,-108.74,1454,-7,United States,Colorado,Mesa,2
403894,37.33,-108.42,2145,-7,United States,Colorado,Montezuma,2
454938,38.93,-106.18,2681,-7,United States,Colorado,Chaffee,2
425223,40.53,-107.46,1937,-7,United States,Colorado,Moffat,2
494885,38.93,-104.58,2068,-7,United States,Colorado,El Paso,2
396838,39.57,-108.74,2314,-7,United States,Colorado,Garfield,2
528141,38.29,-103.3,1279,-7,United States,Colorado,Kiowa,2
410917,39.57,-108.1,2232,-7,United States,Colorado,Garfield,2
478470,39.89,-105.22,1832,-7,United States,Colorado,Jefferson,2
418125,37.01,-107.78,2150,-7,United States,Colorado,La Plata,2
418101,37.97,-107.78,3677,-7,United States,Colorado,Ouray,2
396886,37.65,-108.74,2098,-7,United States,Colorado,Dolores,2
432544,37.01,-107.14,2075,-7,United States,Colorado,Archuleta,2
389881,38.29,-109.06,2238,-7,United States,Colorado,Montrose,2
470437,37.01,-105.54,2355,-7,United States,Colorado,Costilla,2
410933,38.93,-108.1,2757,-7,United States,Colorado,Delta,2
439786,39.89,-106.82,2139,-7,United States,Colorado,Eagle,2
503173,37.01,-104.26,2416,-7,United States,Colorado,Las Animas,2
418117,37.33,-107.78,2472,-7,United States,Colorado,La Plata,2
396886,37.65,-108.74,2098,-7,United States,Colorado,Dolores,2
425263,38.93,-107.46,2143,-7,United States,Colorado,Gunnison,2
528165,37.33,-103.3,1664,-7,United States,Colorado,Las Animas,2
418037,40.53,-107.78,1974,-7,United States,Colorado,Moffat,2
425311,37.01,-107.46,1884,-7,United States,Colorado,Archuleta,2
470349,40.53,-105.54,3074,-7,United States,Colorado,Larimer,2
439802,39.25,-106.82,2720,-7,United States,Colorado,Pitkin,2
403878,37.97,-108.42,2602,-7,United States,Colorado,San Miguel,2
396830,39.89,-108.74,1852,-7,United States,Colorado,Rio Blanco,2
486691,38.29,-104.9,1556,-7,United States,Colorado,Pueblo,2
486707,37.65,-104.9,1994,-7,United States,Colorado,Huerfano,2
511390,39.25,-103.94,1781,-7,United States,Colorado,Elbert,2
494933,37.01,-104.58,2275,-7,United States,Colorado,Las Animas,2
470349,40.53,-105.54,3074,-7,United States,Colorado,Larimer,2
447352,38.29,-106.5,3243,-7,United States,Colorado,Saguache,2
454978,37.33,-106.18,2458,-7,United States,Colorado,Conejos,2
470405,38.29,-105.54,2404,-7,United States,Colorado,Fremont,2
470413,37.97,-105.54,3523,-7,United States,Colorado,Custer,2
418093,38.29,-107.78,2074,-7,United States,Colorado,Ouray,2
536579,37.01,-102.98,1372,-7,United States,Colorado,Baca,2
396846,39.25,-108.74,1454,-7,United States,Colorado,Mesa,2
553453,37.01,-102.34,1184,-7,United States,Colorado,Baca,2
486715,37.33,-104.9,2489,-7,United States,Colorado,Las Animas,2
462466,40.85,-105.86,2938,-7,United States,Colorado,Larimer,2
470397,38.61,-105.54,2525,-7,United States,Colorado,Fremont,2
454930,39.25,-106.18,3850,-7,United States,Colorado,Lake,2
478454,40.53,-105.22,1864,-7,United States,Colorado,Larimer,2
396854,38.93,-108.74,2466,-7,United States,Colorado,Mesa,2
432528,37.65,-107.14,3453,-7,United States,Colorado,Hinsdale,2
410925,39.25,-108.1,1981,-7,United States,Colorado,Mesa,2
396862,38.61,-108.74,2464,-7,United States,Colorado,Mesa,2
432512,38.29,-107.14,2571,-7,United States,Colorado,Gunnison,2
425263,38.93,-107.46,2143,-7,United States,Colorado,Gunnison,2
396822,40.21,-108.74,1737,-7,United States,Colorado,Rio Blanco,2
432488,39.25,-107.14,3218,-7,United States,Colorado,Pitkin,2
418101,37.97,-107.78,3677,-7,United States,Colorado,Ouray,2
454962,37.97,-106.18,2337,-7,United States,Colorado,Saguache,2
396846,39.25,-108.74,1454,-7,United States,Colorado,Mesa,2
425239,39.89,-107.46,3010,-7,United States,Colorado,Rio Blanco,2
432480,39.57,-107.14,2638,-7,United States,Colorado,Garfield,2
410973,37.33,-108.1,2614,-7,United States,Colorado,La Plata,2
425263,38.93,-107.46,2143,-7,United States,Colorado,Gunnison,2
528117,39.25,-103.3,1607,-7,United States,Colorado,Lincoln,2
447320,39.57,-106.5,3185,-7,United States,Colorado,Eagle,2
432472,39.89,-107.14,3290,-7,United States,Colorado,Garfield,2
439842,37.65,-106.82,3393,-7,United States,Colorado,Mineral,2
470373,39.57,-105.54,3194,-7,United States,Colorado,Clear Creek,2
432496,38.93,-107.14,3354,-7,United States,Colorado,Gunnison,2
511446,37.01,-103.94,1922,-7,United States,Colorado,Las Animas,2
439858,37.01,-106.82,2340,-7,United States,Colorado,Archuleta,2
462490,39.89,-105.86,2992,-7,United States,Colorado,Grand,2
494917,37.65,-104.58,1887,-7,United States,Colorado,Huerfano,2
494869,39.57,-104.58,1856,-7,United States,Colorado,Arapahoe,2
486675,38.93,-104.9,2266,-7,United States,Colorado,El Paso,2
432512,38.29,-107.14,2571,-7,United States,Colorado,Gunnison,2
478446,40.85,-105.22,1923,-7,United States,Colorado,Larimer,2
425239,39.89,-107.46,3010,-7,United States,Colorado,Rio Blanco,2
519770,37.65,-103.62,1415,-7,United States,Colorado,Otero,2
403838,39.57,-108.42,2401,-7,United States,Colorado,Garfield,2
432512,38.29,-107.14,2571,-7,United States,Colorado,Gunnison,2
410893,40.53,-108.1,1817,-7,United States,Colorado,Moffat,2
432512,38.29,-107.14,2571,-7,United States,Colorado,Gunnison,2
470397,38.61,-105.54,2525,-7,United States,Colorado,Fremont,2
396806,40.85,-108.74,2065,-7,United States,Colorado,Moffat,2
396902,37.01,-108.74,1622,-7,United States,Colorado,Montezuma,2
425287,37.97,-107.46,3771,-7,United States,Colorado,Hinsdale,2
511390,39.25,-103.94,1781,-7,United States,Colorado,Elbert,2
454938,38.93,-106.18,2681,-7,United States,Colorado,Chaffee,2
403854,38.93,-108.42,1502,-7,United States,Colorado,Mesa,2
462466,40.85,-105.86,2938,-7,United States,Colorado,Larimer,2
403838,39.57,-108.42,2401,-7,United States,Colorado,Garfield,2
478454,40.53,-105.22,1864,-7,United States,Colorado,Larimer,2
396862,38.61,-108.74,2464,-7,United States,Colorado,Mesa,2
454930,39.25,-106.18,3850,-7,United States,Colorado,Lake,2
528157,37.65,-103.3,1378,-7,United States,Colorado,Bent,2
403894,37.33,-108.42,2145,-7,United States,Colorado,Montezuma,2
432512,38.29,-107.14,2571,-7,United States,Colorado,Gunnison,2
418085,38.61,-107.78,2387,-7,United States,Colorado,Montrose,2
410933,38.93,-108.1,2757,-7,United States,Colorado,Delta,2
418053,39.89,-107.78,2308,-7,United States,Colorado,Rio Blanco,2
447344,38.61,-106.5,3042,-7,United States,Colorado,Gunnison,2
519698,40.53,-103.62,1400,-7,United States,Colorado,Weld,2
478494,38.93,-105.22,2759,-7,United States,Colorado,Teller,2
418093,38.29,-107.78,2074,-7,United States,Colorado,Ouray,2
